sted_raa,antall,kanonisk_sted,amt_lan,land
fredrikshald kjøpstad,5152,Fredrikshald kjøpstad,Smaalenenes amt,Norge
sverige,914,Sverige (uspesifisert),,Sverige
id sm,387,Idd herred,Smaalenenes amt,Norge
fredrikshald,238,Fredrikshald kjøpstad,Smaalenenes amt,Norge
berg sm,197,Berg herred,Smaalenenes amt,Norge
fr hald,181,Fredrikshald kjøpstad,Smaalenenes amt,Norge
kristiania,118,Christiania,Christiania amt,Norge
aremark sm,114,Aremark herred,Smaalenenes amt,Norge
frhald,97,Fredrikshald kjøpstad,Smaalenenes amt,Norge
f,95,Fredrikshald kjøpstad,Smaalenenes amt,Norge
rakkestad sm,77,Rakkestad herred,Smaalenenes amt,Norge
christiania,72,Christiania,Christiania amt,Norge
skjeberg sm,70,Skjeberg herred,Smaalenenes amt,Norge
berg sogn sm,45,Berg herred,Smaalenenes amt,Norge
tistedalen sm,45,Tistedalen,Smaalenenes amt,Norge
sverge,45,Sverige (uspesifisert),,Sverige
asak sm,40,Berg herred,Smaalenenes amt,Norge
id,40,Idd herred,Smaalenenes amt,Norge
id sogn sm,37,Idd herred,Smaalenenes amt,Norge
dalsland,37,Dalsland,Älvsborgs län (Dalsland),Sverige
drammen bu,36,Drammen,Buskeruds amt,Norge
fredriksstad sm,35,Fredrikstad kjøpstad,Smaalenenes amt,Norge
fredrikstad sm,33,Fredrikstad kjøpstad,Smaalenenes amt,Norge
sarpsborg sm,30,Sarpsborg kjøpstad,Smaalenenes amt,Norge
ødemark sm,30,Ødemark herred,Smaalenenes amt,Norge
hvaler sm,29,Hvaler herred,Smaalenenes amt,Norge
moss sm,29,Moss kjøpstad,Smaalenenes amt,Norge
rokke sm,29,Berg herred,Smaalenenes amt,Norge
strømstad,26,Strømstad,Göteborgs och Bohus län,Sverige
borge sm,24,Borge herred,Smaalenenes amt,Norge
berg smaalenene sm,23,Berg herred,Smaalenenes amt,Norge
tune sm,23,Tune herred,Smaalenenes amt,Norge
berg sml,22,Berg herred,Smaalenenes amt,Norge
eidsberg sm,20,Eidsberg herred,Smaalenenes amt,Norge
fr-hald,20,Fredrikshald kjøpstad,Smaalenenes amt,Norge
berg smålenene sm,19,Berg herred,Smaalenenes amt,Norge
enningdalen sm,19,Idd herred,Smaalenenes amt,Norge
gøteborg,18,Gøteborg,Göteborgs och Bohus län,Sverige
bergs sogn sm,18,Berg herred,Smaalenenes amt,Norge
berg smaalenene,18,Berg herred,Smaalenenes amt,Norge
sponvigen sm,18,Berg herred,Smaalenenes amt,Norge
ed sverige,18,Ed,Älvsborgs län (Dalsland),Sverige
bergen,17,Bergen,Bergen,Norge
