yrke_raa,antall_personer,normalisert,kategori,kilde,notat
Hustru,743,Hustru/husmor,Husarbeid,regel,
Datter,666,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Søn,589,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Barn,463,Barn,Uten registrert yrke,regel,
Husgjerning,342,Husgjerning,Husarbeid,regel,
Intet,165,Uten yrke,Uten registrert yrke,regel,
Tjenestepige,160,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
intet,130,Uten yrke,Uten registrert yrke,regel,
Skolebarn,128,Skolebarn,Skoleelev,regel,
Husmoder,92,Hustru/husmor,Husarbeid,regel,
Husmor,87,Hustru/husmor,Husarbeid,regel,
Underofficerselev,85,Underoffiserselev,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Skoledecipel,76,Skolebarn,Skoleelev,regel,
D,74,Barn,Uten registrert yrke,regel,enkeltbokstav = familiestilling fra telleren
Husstel,68,Husgjerning,Husarbeid,regel,
datter,67,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Sømand,61,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skoleelev,60,Skolebarn,Skoleelev,regel,
S,58,Barn,Uten registrert yrke,regel,enkeltbokstav = familiestilling fra telleren
Høvleriarbeider,53,Høvleriarbeider,Treindustri,regel,
søn,47,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Stenhugger,43,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Tomtearbeider,42,Tomtearbeider,Treindustri,regel,
Sypige,40,Sypike/syerske,Tekstil og søm,regel,
Husholderske,37,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Stuerarbeider,37,Stuer/bryggearbeider,Sjøfart,regel,
Kjøbmand,31,Kjøpmann/handelsmann,Handel,regel,
Styrmand,30,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Huslig gjerning,29,Husgjerning,Husarbeid,regel,
Skolepligtig,29,Skolebarn,Skoleelev,regel,
Børn,29,Barn,Uten registrert yrke,regel,
Skomager,28,Skomaker,Håndverk,regel,lærling uten fag: antatt håndverk
Skofabrikarbeider,28,Skofabrikarbeider,Industri,regel,
Syerske,28,Sypike/syerske,Tekstil og søm,regel,
Skolegut,26,Skolebarn,Skoleelev,regel,
Bryggearbeider,25,Stuer/bryggearbeider,Sjøfart,regel,
Ingen,24,Uten yrke,Uten registrert yrke,regel,
Malersvend,22,Malesvenn,Bygg og anlegg,regel,maler = bygningsmaler
